dataset_name,source,label_column,missing_values,n_rows_original,n_columns_original,n_rows_used,n_features_after_encoding,n_classes,n_jobs,pycol_C2,pycol_kDN,pycol_D3_value,pycol_F4,pycol_input_noise,pycol_F1,pycol_N3,pycol_borderline,pycol_SI,pycol_LSC,pycol_R_value,pycol_Clust,pycol_N2,pycol_N1,pycol_deg_overlap,pycol_F2,pycol_F1v,pycol_C1,pycol_T1,pycol_CM,pycol_F3,pycol_purity,pycol_ONB,pycol_NSG,pycol_ICSV,pycol_DBC,pycol_neighbourhood_separability,pycol_MRCA,pycol_N4,,
uci_17,uci,target,impute_median,569,31,569,30,2,70,0.38100390740947,0.0513181019332162,9.5,0,0.841007615700059,0.609949513291194,0.0474516695957821,0.0456942003514939,0.952548330404218,0.889492557781821,0.0466514224484767,0.0650263620386643,0.35797230508029,0.0720562390158172,0.135325131810193,5.68309639809645E-11,0.0640197504598086,0.0478734622144113,0.994727592267135,0.0333919156414763,0.483304042179262,0.110143496430699,0.0615453728661276,17.2424242424242,1.78844773875324E+032,0.515151515151515,0.0352141592664112,0.108144821046022,0.0228471001757469,,
uci_186,uci,target,impute_median,6497,12,6497,11,7,60,0.465612188289086,,,,,0.893458311536777,0.338309989225797,,,,,,0.405185727780741,,,0.0177935564971572,,0.429582371350878,,,6.75556514847704,,,,,,,,,1.2.1,cheap
