dataset_file,dataset_name,download_url,profile_url,n_rows_original,n_rows_used,n_columns_original,n_features_after_encoding,n_features_raw,n_classes,is_binary,majority_class_fraction,label_column,error,missing_values,n_jobs,parallel_cli_version,pycol_C1,pycol_C2,pycol_CM,pycol_Clust,pycol_D3_value,pycol_DBC,pycol_F1,pycol_F1v,pycol_F2,pycol_F3,pycol_F4,pycol_ICSV,pycol_LSC,pycol_MRCA,pycol_N1,pycol_N2,pycol_N3,pycol_N4,pycol_NSG,pycol_ONB,pycol_R_value,pycol_SI,pycol_T1,pycol_borderline,pycol_deg_overlap,pycol_distance_matrix_skipped,pycol_heom_parallel,pycol_input_noise,pycol_kDN,pycol_matrix_dtype,pycol_matrix_mode,pycol_matrix_storage,pycol_metrics_preset,pycol_neighbourhood_separability,pycol_purity,pycol_sequential_large_n,pycol_skip_distance_matrix,pymfe_groups_used,source,n_jobs_requested,n_jobs_note,pycol_heom_unnorm_skipped,pycol_metrics_parallel_shared,pycol_metric_workers,pycol_auto_parallel,pycol_heom_workers,pycol_metric_workers_requested,pycol_metrics_failed,error_traceback
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.csv,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1/GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.html,1600.0,1600.0,1001.0,1000.0,,2.0,,,target,,impute_median,79.0,1.9.0,0.4930083333333334,1.0,0.49875,0.73125,399.0,,0.998792844458084,0.1312084478336349,2.273736754432321e-13,0.9975,0.953125,,0.998783984375,,0.598125,0.4998814915530225,0.486875,0.0,,,0.49875,0.513125,,0.634375,0.974375,,True,0.335886875,0.5015000000000002,float64,dist,ram,all,0.0396331426473586,0.0919033176455756,,0.0,,csv,0.0,"auto load1=0.1, cpus=80, idle≈79",1.0,1.0,17.0,1.0,79.0,1.0,MRCA,
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.csv,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1/GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.html,1600.0,1600.0,21.0,20.0,20.0,2.0,True,0.5,target,,impute_median,78.0,1.9.0,0.4677708333333329,0.970215672427678,0.463125,0.68625,370.5,0.8380386329866271,0.9990619115457504,0.964098385999106,1.0,1.0,1.0,25813126471.25225,0.998988671875,0.0725687770242225,0.646875,0.4969678970365047,0.463125,0.26875,2.37741456166419,0.420625,0.463125,0.536875,0.999375,0.48625,0.910625,,,0.35121875,0.4750000000000011,float64,dist,ram,cheap,0.031706532699694,0.1240694787798014,,False,,csv,0.0,"auto load1=1.0, cpus=80, idle≈78",,,,,,,,
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.csv,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1/GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.html,1600.0,1600.0,21.0,20.0,20.0,2.0,True,0.5,target,,impute_median,73.0,1.9.0,0.4507749999999993,0.9525783489853654,0.436875,0.65625,349.5,0.8453947368421053,0.9990632943602452,0.963536198510399,0.5,0.99875,0.99875,273383469491.47733,0.9989328125,0.0776087302339078,0.620625,0.4944277986059836,0.439375,0.295,2.631578947368421,0.38,0.436875,0.560625,0.994375,0.468125,0.89375,,,0.32421875,0.4588750000000006,float64,dist,ram,cheap,0.0319535490708098,0.1205005858273329,,False,,csv,0.0,"auto load1=6.1, cpus=80, idle≈73",,,,,,,,
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.csv,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1/GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.html,1600.0,1600.0,21.0,20.0,20.0,2.0,True,0.5,target,,impute_median,73.0,1.9.0,0.4814645833333328,0.9460146523931788,0.46875,0.706875,375.0,0.8487654320987654,0.9982386008960048,0.932013841430448,1.0,1.0,1.0,45344917572.73845,0.999039453125,0.0727233220624411,0.690625,0.4989364951446149,0.488125,0.313125,2.469135802469136,0.405,0.46875,0.511875,0.998125,0.479375,0.9225,,,0.3114375,0.4823750000000011,float64,dist,ram,cheap,0.031572047497628,0.1134126047049451,,False,,csv,0.0,"auto load1=6.1, cpus=80, idle≈73",,,,,,,,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.csv,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.html,1600.0,1600.0,21.0,20.0,20.0,2.0,True,0.5,target,,impute_median,73.0,1.9.0,0.4672687499999998,0.9267303377003692,0.46875,0.699375,375.0,0.8234349919743178,0.999299653283716,0.9718245567081456,0.5,0.99875,0.99875,51028993870.603134,0.998990234375,0.0704040275808717,0.664375,0.4949140918171817,0.458125,0.304375,2.568218298555377,0.389375,0.46875,0.541875,0.995,0.455625,0.89375,,,0.301625,0.4708750000000013,float64,dist,ram,cheap,0.031415399521857,0.1128113223603546,,False,,csv,0.0,"auto load1=6.1, cpus=80, idle≈73",,,,,,,,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.csv,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz,https://epistasislab.github.io/pmlb/profile/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.html,1600.0,1600.0,21.0,20.0,20.0,2.0,True,0.5,target,,impute_median,74.0,1.9.0,0.4535812499999997,0.9692126870611182,0.446875,0.6775,357.5,0.8468606431852986,0.9988806392993966,0.9575840498515132,1.0,1.0,1.0,78418670524.6635,0.9989625,0.0730455694343685,0.64375,0.4943404993811587,0.43875,0.2975,2.450229709035222,0.408125,0.446875,0.56125,0.999375,0.480625,0.89625,,,0.35771875,0.462125000000001,float64,dist,ram,cheap,0.0326507028786798,0.1277456114881921,,False,,csv,0.0,"auto load1=5.7, cpus=80, idle≈74",,,,,,,,
Hill_Valley_with_noise.csv,Hill_Valley_with_noise.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/Hill_Valley_with_noise/Hill_Valley_with_noise.tsv.gz,https://epistasislab.github.io/pmlb/profile/Hill_Valley_with_noise.html,1212.0,1212.0,101.0,100.0,100.0,2.0,True,0.5,target,,impute_median,74.0,1.9.0,0.4576402640264025,0.4901847805133787,0.4678217821782178,0.5808580858085809,283.5,0.793400286944046,0.9982617705759708,0.5361981432837656,0.0010320521708739,0.9933993399339934,0.3077557755775577,,0.9982586129900118,0.1787428160554395,0.5544554455445545,0.4874397641127913,0.3993399339933993,0.4612211221122112,1.7388809182209468,0.5750825082508251,0.4678217821782178,0.6006600660066007,1.0,0.655940594059406,0.9793729372937292,,,0.996980198019802,0.4849834983498348,float64,dist,ram,cheap,0.0234351558297251,0.1399026370837654,,False,,csv,0.0,"auto load1=5.3, cpus=80, idle≈74",,,,,,,,
Hill_Valley_without_noise.csv,Hill_Valley_without_noise.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/Hill_Valley_without_noise/Hill_Valley_without_noise.tsv.gz,https://epistasislab.github.io/pmlb/profile/Hill_Valley_without_noise.html,1212.0,1212.0,101.0,100.0,100.0,2.0,True,0.504950495049505,target,,impute_median,75.0,1.9.0,0.4195544554455438,0.4418025968228275,0.4389438943894389,0.5198019801980198,266.0,0.8221153846153846,0.9980582503786418,0.5291393831137708,0.0001591906586086,0.9942244224422442,0.3572607260726073,,0.9979849470095524,0.1831330491343582,0.5255775577557755,0.4674091034719063,0.3407590759075907,0.462046204620462,1.9423076923076923,0.5148692810457516,0.4390299618197114,0.6592409240924092,0.9991749174917492,0.5874587458745875,0.9455445544554456,,,0.9971782178217822,0.4645214521452141,float64,dist,ram,cheap,0.0236641672151646,0.1378217675272189,,False,,csv,0.0,"auto load1=4.9, cpus=80, idle≈75",,,,,,,,
Wisconsin_Breast_Cancer_without_ID.csv,,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/Wisconsin_Breast_Cancer_without_ID/Wisconsin_Breast_Cancer_without_ID.tsv.gz,https://epistasislab.github.io/pmlb/profile/Wisconsin_Breast_Cancer_without_ID.html,569.0,569.0,31.0,30.0,30.0,2.0,True,0.6274165202108963,diagnosis,,,,,0.0478734622144112,0.3810039074094699,0.0333919156414762,0.0650263620386643,9.5,0.5151515151515151,0.6099495132911941,0.0640197504598085,5.683096398096448e-11,0.4833040421792619,0.0,1.7884477387532365e+32,0.8894925577818206,0.1081448210460224,0.0720562390158172,0.3579723050802896,0.047451669595782,0.0140597539543057,17.242424242424242,0.0615453728661275,0.0466514224484766,0.952548330404218,0.9947275922671354,0.0456942003514938,0.1353251318101933,,,0.8410076157000586,0.0513181019332161,,,,,0.0352141592664112,0.110143496430699,,,,,,,,,,,,,,
agaricus_lepiota.csv,agaricus_lepiota.csv,https://raw.githubusercontent.com/EpistasisLab/penn-ml-benchmarks/master/datasets/agaricus_lepiota/agaricus_lepiota.tsv.gz,https://epistasislab.github.io/pmlb/profile/agaricus_lepiota.html,8145.0,8145.0,23.0,22.0,,2.0,,,target,,impute_median,79.0,1.9.0,0.0002283609576427,0.1546191340890885,0.0,0.003806015960712,0.0,0.6666666666666666,0.8592711276052245,0.0797890108134878,0.0,0.7770411295273174,0.0039287906691221,7.331841048724429e+16,0.8977846965735004,0.0437763305180555,0.0049109883364027,0.0843726032651477,0.0,0.0996930632289748,271.5,0.0036980085110411,0.0,1.0,0.9809699201964396,0.0004910988336402,0.0012277470841006,1.0,True,0.4483676544450025,0.0003437691835481,float64,both,ram,all,0.0308154025162409,0.0936578855778745,1.0,0.0,,csv,0.0,"auto load1=0.2, cpus=80, idle≈79",,,,,,,,
