dataset_name,label_column,n_rows_original,n_columns_original,n_features_after_encoding,n_rows_used,n_classes,majority_class_fraction,missing_values,pycol_metrics_preset,pycol_F1,pycol_F2,pycol_F3,pycol_distance_matrix_skipped,pycol_N2,pycol_N3,pycol_C1,pycol_C2
analcatdata_creditscore,target,180,33,32,180,2,0.8611111111111112,impute_median,cheap,0.9464403165242373,0.0,0.8277777777777777,True,0.42611628709603055,0.21666666666666667,0.2013333333333333,0.848566444535435
biomed,target,209,9,8,209,2,0.6411483253588517,impute_median,cheap,0.7736128057856685,0.0014661937693304901,0.6698564593301436,True,0.3736209786777126,0.10526315789473684,0.15607655502392348,0.3905304658205188
glass2,target,163,10,9,163,2,0.5337423312883436,impute_median,cheap,0.9370818041272305,0.0011692069947453376,0.9079754601226994,True,0.3739100143800197,0.22699386503067484,0.23274028629856847,0.36839173385412616
