dataset_name,source,label_column,n_rows_original,n_columns_original,n_rows_used,n_features_after_encoding,n_classes,n_jobs,pycol_F1,pycol_F1v,pycol_F2,pycol_F3,pycol_F4,pycol_input_noise,pycol_R_value,pycol_deg_overlap,pycol_N3,pycol_SI,pycol_N4,pycol_kDN,pycol_D3_value,pycol_CM,pycol_N1,pycol_T1,pycol_Clust,pycol_ONB,pycol_LSC,pycol_DBC,pycol_N2,pycol_NSG,pycol_ICSV,pycol_MRCA,pycol_C1,pycol_C2,pycol_purity,pycol_neighbourhood_separability,pycol_borderline,pymfe_c1,pymfe_c2,pymfe_cls_coef,pymfe_density,pymfe_f1.mean,pymfe_f1v.mean,pymfe_f2.mean,pymfe_f3.mean,pymfe_f4.mean,pymfe_hubs.mean,pymfe_l1.mean,pymfe_l2.mean,pymfe_l3.mean,pymfe_lsc,pymfe_n1,pymfe_n2.mean,pymfe_n3.mean,pymfe_n4.mean,pymfe_t1,pymfe_t2,pymfe_t3,pymfe_t4
openml_61,openml,target,150,5,150,4,3,10,0.2805579465847462,0.0267731900864148,0.0063817649638066,0.1233333333333333,0.0433333333333333,0.2544444444444445,0.0233333333333333,0.14,0.0466666666666666,0.9533333333333334,0.0466666666666666,0.0586666666666666,2.333333333333333,0.0466666666666666,0.1,0.9133333333333332,0.0866666666666666,0.08,0.8178666666666666,0.75,0.1749014451760003,12.5,108.34604001544018,0.0145154489870381,0.0531777777777777,0.1385355602559765,0.1046913308185683,0.0248825883481248,0.04,0.9999999999999998,0.0,0.264541696850897,0.8341834451901566,0.2798146406495443,,0.0063817649638066,0.1233333333333333,0.0433333333333333,0.7856603224417225,0.0043378062486192,0.0133333333333333,0.0033333333333333,0.8164444444444444,0.1066666666666666,0.1973944515450315,0.06,0.0333333333333333,0.12,0.0266666666666666,0.0133333333333333,0.5
uci_53,uci,target,150,5,150,4,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999998,0.0,0.264541696850897,0.8341834451901566,0.27981464064954437,,0.006381764963806672,0.12333333333333334,0.043333333333333335,0.7856603224417216,0.004337806248619236,0.013333333333333345,0.003333333333333336,0.8164444444444444,0.10666666666666667,0.19739445154503152,0.06,0.03333333333333333,0.12,0.02666666666666667,0.013333333333333334,0.5
