dataset_file,error,label_column,n_rows,n_columns_total,n_features_raw,n_rows_used_after_cleaning,n_features_used_after_encoding,n_classes,majority_class_fraction,is_binary,pymfe_groups_used,pycol_F1,pycol_F1v,pycol_F2,pycol_F3,pycol_F4,pycol_input_noise,pycol_R_value,pycol_deg_overlap,pycol_N3,pycol_SI,pycol_N4,pycol_kDN,pycol_D3_value,pycol_CM,pycol_N1,pycol_T1,pycol_Clust,pycol_ONB,pycol_LSC,pycol_DBC,pycol_N2,pycol_NSG,pycol_ICSV,pycol_MRCA,pycol_C1,pycol_C2,pycol_purity,pycol_neighbourhood_separability,pycol_borderline
corral.csv,,target,160,7,6,160,6,2,0.5625,True,,0.7643511117570118,0.13071733204231334,1.0,1.0,1.0,0.0,0.12708333333333335,0.325,0.05,0.95,0.09375,0.12874999999999998,8.5,0.10625,0.23125,0.4,0.275,0.049206349206349205,0.966484375,0.625,0.12481520118259176,20.0,1.7543026418249816,,0.09491666666666668,0.3253333333333333,0.09764727376670697,0.02810971504421252,0.2125
analcatdata_fraud.csv,,target,42,12,11,42,11,2,0.6904761904761905,True,,0.9079047755215588,0.2048971911668043,0.2857142984867096,0.8809523809523809,0.8809523809523809,0.02813852813852814,0.5524820007578628,0.7857142857142857,0.40476190476190477,0.5952380952380952,0.14285714285714285,0.37142857142857144,6.0,0.2857142857142857,0.4523809523809524,1.0,0.40476190476190477,0.35543766578249336,0.9172335600907029,0.8333333333333334,0.48101572306169577,3.5,99.80324993912251,,0.38698412698412693,1.0,0.10940871027027994,0.04164765936706289,0.3333333333333333
parity5.csv,,target,32,6,5,32,5,2,0.5,True,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.375,1.0,16.0,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,0.585786437626905,1.0,0.0,,1.0,1.0,0.0919033176455756,0.035255942308190395,0.0
analcatdata_bankruptcy.csv,,target,50,7,6,50,6,2,0.5,True,,0.7666618306977361,0.18350881556898047,0.0009027806729922267,0.38,0.0,0.6866666666666666,0.2,0.62,0.1,0.9,0.16,0.2760000000000001,5.0,0.2,0.3,0.96,0.24,0.24,0.9104,0.8333333333333334,0.40091074408357263,4.166666666666667,41578.26310075776,0.16983469997462683,0.21153333333333335,0.44201330909819037,0.11378933368478285,0.028052078811029876,0.36
analcatdata_japansolvent.csv,,target,52,10,9,52,9,2,0.5192307692307693,True,,0.7502698678430928,0.1437122606746382,0.00010816828714320502,0.5576923076923077,0.0,0.8141025641025641,0.32341880341880347,0.7307692307692307,0.3076923076923077,0.6923076923076923,0.15384615384615385,0.3307692307692308,8.0,0.3076923076923077,0.4423076923076923,1.0,0.34615384615384615,0.3511111111111111,0.9108727810650887,0.9444444444444444,0.4475207102428738,2.888888888888889,3490420079.118254,0.23344094295090378,0.32256410256410256,0.5294707512969563,0.13495307870043516,0.03142744280234028,0.23076923076923078
analcatdata_aids.csv,,target,50,5,4,50,4,2,0.5,True,,0.9356883573255463,0.5405514015335837,0.1833684995101279,0.76,0.66,0.73,0.6599999999999999,1.0,0.82,0.18,0.22,0.5359999999999999,16.5,0.66,0.86,1.0,0.82,0.8200000000000001,0.9736,1.0,0.6765059819213259,1.2195121951219512,1289317194010.3162,0.16611940635618846,0.6041999999999998,0.7261932478187003,0.14830156857479282,0.019909250404179134,0.9
glass2.csv,,target,163,10,9,163,9,2,0.5337423312883436,True,,0.9370818041272305,0.39354219034060994,0.0011692069947453376,0.9079754601226994,0.6134969325153374,0.776414451261077,0.2489394631066772,0.5337423312883436,0.22699386503067484,0.7730061349693251,0.22699386503067484,0.24907975460122697,19.5,0.2392638036809816,0.3496932515337423,0.9877300613496932,0.294478527607362,0.29340592861464004,0.9560389928111709,0.7659574468085106,0.3739100143800197,3.4680851063829787,569288978531.6473,0.1864458326390029,0.23274028629856847,0.36839173385412616,0.1426045650328488,0.02846015718349313,0.26993865030674846
labor.csv,,target,57,17,16,57,16,2,0.6491228070175439,True,,0.8502447155953181,0.0805242223113145,0.02440087157339244,0.7543859649122807,0.0,0.4144736842105263,0.2935751541014699,0.6140350877192983,0.05263157894736842,0.9473684210526315,0.08771929824561403,0.2807017543859649,7.0,0.24561403508771928,0.3157894736842105,1.0,0.2807017543859649,0.24662162162162163,0.9135118497999384,0.35714285714285715,0.40910791110400313,4.071428571428571,172895.34454150248,,0.20087719298245615,0.906965212028859,0.1056081971283665,0.04236671388299967,0.42105263157894735
analcatdata_asbestos.csv,,target,83,4,3,83,3,2,0.5542168674698795,True,,0.6264648455592131,0.2665447027152852,0.885185182094574,0.9879518072289156,0.9879518072289156,0.321285140562249,0.2713674911160506,0.6144578313253012,0.2289156626506024,0.7710843373493976,0.2289156626506024,0.29156626506024097,11.0,0.26506024096385544,0.4578313253012048,0.3855421686746988,0.3493975903614458,0.31698002350176263,0.9403396719407752,0.9615384615384616,0.30990578020830184,3.1923076923076925,,0.2313602368143771,0.2717670682730924,0.3200371377575929,0.1076936431177629,0.023673949888960606,0.27710843373493976
lupus.csv,,target,87,4,3,87,3,2,0.5977011494252874,True,,0.8069594192589361,0.2962625297461724,0.5828008861540509,0.7011494252873564,0.6781609195402298,0.6743295019157088,0.3257862826828344,0.7931034482758621,0.2988505747126437,0.7011494252873564,0.2988505747126437,0.34942528735632183,12.0,0.27586206896551724,0.4942528735632184,0.7816091954022989,0.45977011494252873,0.46373626373626375,0.960628880961818,0.9487179487179487,0.35028557766931323,2.230769230769231,,0.27107892908004505,0.3377011494252873,0.4052290694775386,0.12242459993484636,0.02309874949097367,0.3103448275862069
